windowStart,windowEnd,durationMs,marketId,question,timeframe,tickCount,peakSpread,avgSpread,openCombined,closeCombined
2026-02-24T00:53:01.941Z,2026-02-24T00:53:01.941Z,0,0x6e3d926a9fb3618bdf73b96338bfd0fbfc84ed0cf2bb7a8e8eb238300da7f0ad,"Bitcoin Up or Down - February 23, 7:45PM-8:00PM ET",15-min,1,0.0100,0.0100,0.9900,1.0100
2026-02-24T00:55:16.319Z,2026-02-24T00:55:16.319Z,0,0x6e3d926a9fb3618bdf73b96338bfd0fbfc84ed0cf2bb7a8e8eb238300da7f0ad,"Bitcoin Up or Down - February 23, 7:45PM-8:00PM ET",15-min,1,0.0100,0.0100,0.9900,1.0100
2026-02-24T00:55:22.348Z,2026-02-24T00:55:22.348Z,0,0x6e3d926a9fb3618bdf73b96338bfd0fbfc84ed0cf2bb7a8e8eb238300da7f0ad,"Bitcoin Up or Down - February 23, 7:45PM-8:00PM ET",15-min,1,0.0100,0.0100,0.9900,1.0100
2026-02-24T00:56:35.675Z,2026-02-24T00:56:35.675Z,0,0x6e3d926a9fb3618bdf73b96338bfd0fbfc84ed0cf2bb7a8e8eb238300da7f0ad,"Bitcoin Up or Down - February 23, 7:45PM-8:00PM ET",15-min,1,0.0100,0.0100,0.9900,1.0100
2026-02-24T00:58:11.077Z,2026-02-24T00:58:11.077Z,0,0x6e3d926a9fb3618bdf73b96338bfd0fbfc84ed0cf2bb7a8e8eb238300da7f0ad,"Bitcoin Up or Down - February 23, 7:45PM-8:00PM ET",15-min,1,0.0100,0.0100,0.9900,1.0100
2026-02-24T00:58:54.633Z,2026-02-24T00:58:54.633Z,0,0x6e3d926a9fb3618bdf73b96338bfd0fbfc84ed0cf2bb7a8e8eb238300da7f0ad,"Bitcoin Up or Down - February 23, 7:45PM-8:00PM ET",15-min,1,0.0100,0.0100,0.9900,1.0100
2026-02-24T01:11:14.518Z,2026-02-24T01:11:14.518Z,0,0x2ed70722482aa43f7c29ca0778b06e107bad5ab224ede292cc96c155908d5d41,"Bitcoin Up or Down - February 23, 8:10PM-8:15PM ET",5-min,1,0.0100,0.0100,0.9900,1.0100
2026-02-24T01:11:33.554Z,2026-02-24T01:11:33.554Z,0,0x2ed70722482aa43f7c29ca0778b06e107bad5ab224ede292cc96c155908d5d41,"Bitcoin Up or Down - February 23, 8:10PM-8:15PM ET",5-min,1,0.0100,0.0100,0.9900,1.0100
2026-02-24T01:12:04.363Z,2026-02-24T01:12:04.363Z,0,0x2ed70722482aa43f7c29ca0778b06e107bad5ab224ede292cc96c155908d5d41,"Bitcoin Up or Down - February 23, 8:10PM-8:15PM ET",5-min,1,0.0100,0.0100,0.9900,1.0100
2026-02-24T01:12:45.864Z,2026-02-24T01:12:45.864Z,0,0x2ed70722482aa43f7c29ca0778b06e107bad5ab224ede292cc96c155908d5d41,"Bitcoin Up or Down - February 23, 8:10PM-8:15PM ET",5-min,1,0.0100,0.0100,0.9900,1.0100
2026-02-24T01:12:46.221Z,2026-02-24T01:12:46.221Z,0,0x2ed70722482aa43f7c29ca0778b06e107bad5ab224ede292cc96c155908d5d41,"Bitcoin Up or Down - February 23, 8:10PM-8:15PM ET",5-min,1,0.0200,0.0200,0.9800,1.0100
2026-02-24T01:15:34.746Z,2026-02-24T01:15:34.746Z,0,0xeb6257bd6beb7678f04e9985f3ff7018ae3fb69ac4407ffe2b1c0eb10678cf5f,"Bitcoin Up or Down - February 23, 8:15PM-8:30PM ET",15-min,1,0.0200,0.0200,0.9800,1.0100
2026-02-24T01:15:54.540Z,2026-02-24T01:15:54.540Z,0,0xeb6257bd6beb7678f04e9985f3ff7018ae3fb69ac4407ffe2b1c0eb10678cf5f,"Bitcoin Up or Down - February 23, 8:15PM-8:30PM ET",15-min,1,0.0100,0.0100,0.9900,1.0100
2026-02-24T01:15:57.139Z,2026-02-24T01:15:57.139Z,0,0xeb6257bd6beb7678f04e9985f3ff7018ae3fb69ac4407ffe2b1c0eb10678cf5f,"Bitcoin Up or Down - February 23, 8:15PM-8:30PM ET",15-min,1,0.0100,0.0100,0.9900,1.0100
2026-02-24T01:15:58.907Z,2026-02-24T01:15:58.907Z,0,0xeb6257bd6beb7678f04e9985f3ff7018ae3fb69ac4407ffe2b1c0eb10678cf5f,"Bitcoin Up or Down - February 23, 8:15PM-8:30PM ET",15-min,1,0.0200,0.0200,0.9800,1.0100
2026-02-24T01:15:59.070Z,2026-02-24T01:15:59.070Z,0,0xeb6257bd6beb7678f04e9985f3ff7018ae3fb69ac4407ffe2b1c0eb10678cf5f,"Bitcoin Up or Down - February 23, 8:15PM-8:30PM ET",15-min,1,0.0200,0.0200,0.9800,1.0100
2026-02-24T01:16:46.865Z,2026-02-24T01:16:46.865Z,0,0xeb6257bd6beb7678f04e9985f3ff7018ae3fb69ac4407ffe2b1c0eb10678cf5f,"Bitcoin Up or Down - February 23, 8:15PM-8:30PM ET",15-min,1,0.0100,0.0100,0.9900,1.0100
2026-02-24T01:16:18.156Z,2026-02-24T01:18:39.011Z,140855,0x11a0f7f2cbd5c48993e402ead864b527c9398957ff8493108514c12b9d58d85f,"Bitcoin Up or Down - February 23, 8:15PM-8:20PM ET",5-min,784,0.0100,0.0100,0.9900,1.0000
2026-02-24T01:20:41.122Z,2026-02-24T01:20:41.122Z,0,0xeb6257bd6beb7678f04e9985f3ff7018ae3fb69ac4407ffe2b1c0eb10678cf5f,"Bitcoin Up or Down - February 23, 8:15PM-8:30PM ET",15-min,1,0.0100,0.0100,0.9900,1.0100
2026-02-24T01:20:47.560Z,2026-02-24T01:20:47.560Z,0,0xeb6257bd6beb7678f04e9985f3ff7018ae3fb69ac4407ffe2b1c0eb10678cf5f,"Bitcoin Up or Down - February 23, 8:15PM-8:30PM ET",15-min,1,0.0100,0.0100,0.9900,1.0100
2026-02-24T01:21:07.342Z,2026-02-24T01:21:07.342Z,0,0xeb6257bd6beb7678f04e9985f3ff7018ae3fb69ac4407ffe2b1c0eb10678cf5f,"Bitcoin Up or Down - February 23, 8:15PM-8:30PM ET",15-min,1,0.0100,0.0100,0.9900,1.0200
2026-02-24T01:24:18.491Z,2026-02-24T01:24:18.491Z,0,0xeb6257bd6beb7678f04e9985f3ff7018ae3fb69ac4407ffe2b1c0eb10678cf5f,"Bitcoin Up or Down - February 23, 8:15PM-8:30PM ET",15-min,1,0.0100,0.0100,0.9900,1.0100
2026-02-24T01:24:31.817Z,2026-02-24T01:24:31.817Z,0,0xeb6257bd6beb7678f04e9985f3ff7018ae3fb69ac4407ffe2b1c0eb10678cf5f,"Bitcoin Up or Down - February 23, 8:15PM-8:30PM ET",15-min,1,0.0100,0.0100,0.9900,1.0100
2026-02-24T01:26:16.706Z,2026-02-24T01:26:16.706Z,0,0xeb6257bd6beb7678f04e9985f3ff7018ae3fb69ac4407ffe2b1c0eb10678cf5f,"Bitcoin Up or Down - February 23, 8:15PM-8:30PM ET",15-min,1,0.0300,0.0300,0.9700,1.0100
2026-02-24T01:26:36.227Z,2026-02-24T01:26:36.227Z,0,0xeb6257bd6beb7678f04e9985f3ff7018ae3fb69ac4407ffe2b1c0eb10678cf5f,"Bitcoin Up or Down - February 23, 8:15PM-8:30PM ET",15-min,1,0.0100,0.0100,0.9900,1.0100
